mapid,name,category1,category2,address,short_description,url,geom,geo_local_area,longitude,latitude
GCP314,Community Garden,Private projects,Local-Food,4055  Victoria Dr,Cedar Cottage Neighourhood House,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.065146006625, 49.2489462126124], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.065146006625,49.2489462126124
GCP321,Community Garden,Private projects,Local-Food,857  Malkin Ave,Cottonwood Accessible Garden,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0849867, 49.27399486], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.0849867,49.27399486
GCP346,Community Garden,Private projects,Local-Food,4000 W 11th Ave,Menno Simmons centre,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1940989, 49.26273246], 'type': 'Point'}, 'properties': {}}",West Point Grey,-123.1940989,49.26273246
GCP347,Community Garden,Private projects,Local-Food,7155  Sherbrooke St,Mennonite Church,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0819725, 49.21911364], 'type': 'Point'}, 'properties': {}}",Sunset,-123.0819725,49.21911364
GCP355,Community Garden,Private projects,Local-Food,234 E 15th Ave,Robson Park Coop,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.099689, 49.25717427], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.099689,49.25717427
GCP357,Community Garden,Private projects,Local-Food,399  Hawks Ave,SOLE Food Project,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0869869, 49.28109856], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.0869869,49.28109856
GCP358,Community Garden,Private projects,Local-Food,4410  Kaslo St,Still Creek,http://vancouver.ca/people-programs/community-gardens.aspx,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0469936, 49.2452827], 'type': 'Point'}, 'properties': {}}",Renfrew-Collingwood,-123.0469936,49.2452827
GCP005,Inteluma Energy Systems,Private projects,Green-Economy,813 Burrard St,Demonstrating LED lighting system in the Greater Vancouver Real Estate Board parkade.,http://www.inteluma.com/project/real-estate-board-of-greater-vancouver/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1234068, 49.28309509], 'type': 'Point'}, 'properties': {}}",West End,-123.1234068,49.28309509
GCP014,LEED Gold New Construction Certified 201,Private projects,Green-Buildings,1 Kingsway,Mount Pleasant Centre,http://www.greenbuildingaudiotours.com/buildings/the_mount_pleasant_community_centre,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1001975, 49.26415853], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.1001975,49.26415853
GCP043,BikeLab,City Studio Project,Green-Transportation,149 W Hastings St,Spring 2013 City Studio Project - 1 of 2 bike repair stations.,http://citystudiovancouver.com/projects/bikelab-repair-stations/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.107697007104, 49.2824449981218], 'type': 'Point'}, 'properties': {}}",Downtown,-123.107697007104,49.2824449981218
GCP050,Urban Orchards,City Studio Project,Local-Food,1800 Spyglass Pl,Spring 2013 City Studio Project - First orchard on public land - 2 sites being developed.,http://citystudiovancouver.com/projects/vancouvers-1st-urban-orchard/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1153895, 49.27017936], 'type': 'Point'}, 'properties': {}}",Fairview,-123.1153895,49.27017936
GCP063,Food stories,City Studio Project,Local-Food,1800 Spyglass Pl,Fall 2011 City Studio Project. Research on people's food stories.,http://citystudiovancouver.com/projects/mount-pleasant-food-stories/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1160336, 49.27015947], 'type': 'Point'}, 'properties': {}}",Fairview,-123.1160336,49.27015947
GCP071,Habitat Island,City projects,Access-to-Nature,Not Specified,Restoration of shoreline area in Southeast False Creek.,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=241,"{'type': 'Feature', 'geometry': {'coordinates': [-123.110869, 49.272196], 'type': 'Point'}, 'properties': {}}",Mount Pleasant,-123.110869,49.272196
GCP079,Community orchards,City projects,Local-Food,7800 Vivian St,"At Fraserview Golf Course, 30 apple, pear and cherry trees near the 8th hole.",http://www.canada.com/story_print.html?id=72446201-1db7-41dd-b2be-ae7bb4609058&sponsor=,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0523383, 49.20869939], 'type': 'Point'}, 'properties': {}}",Killarney,-123.0523383,49.20869939
GCP117,Farmers Markets,Private projects,Local-Food,1100 Block Station Street along Thornton Park,"Main Street Station at Thornton Park Wednesdays, June 5 - October 2, 2013.",http://www.eatlocal.org/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0993867, 49.27410352], 'type': 'Point'}, 'properties': {}}",Strathcona,-123.0993867,49.27410352
GCP119,Farmers Markets,Private projects,Local-Food,North Parking Lot of John Hendry Park at Trout Lake,"Trout Lake Farmers Market Saturdays, May 11 - October 19, 2013.",http://www.eatlocal.org/,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0655945, 49.25509927], 'type': 'Point'}, 'properties': {}}",Kensington-Cedar Cottage,-123.0655945,49.25509927
